Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,571.25,572.75,565.9,571.25,569.2,568.85,568.29,629.55,430.7,"1,79,03,691","10,17,44,91,934.45","2,13,062",SBIN
16-Jun-23,EQ,568.75,574.7,567.05,566.5,570,571.25,570.69,629.55,430.7,"1,26,60,226","7,22,50,83,719.50","1,78,755",SBIN
15-Jun-23,EQ,576,576.7,565.25,576.55,566.75,566.5,571.49,629.55,430.7,"1,79,34,877","10,24,95,89,135.90","2,32,221",SBIN
14-Jun-23,EQ,577,578.55,575.25,576.4,576.35,576.55,576.96,629.55,430.7,"89,48,696","5,16,30,47,228.70","1,22,388",SBIN
13-Jun-23,EQ,579.45,581.4,574.25,578.65,576.35,576.4,576.44,629.55,430.7,"1,26,12,098","7,27,00,79,551.55","1,98,530",SBIN
12-Jun-23,EQ,580,581.5,577.7,578.7,578.55,578.65,579.37,629.55,430.7,"87,86,066","5,09,03,56,083.85","1,29,364",SBIN
9-Jun-23,EQ,588,589.1,576.75,588.5,578.8,578.7,580.81,629.55,430.7,"1,88,70,272","10,96,00,50,604.80","2,53,490",SBIN
8-Jun-23,EQ,589.95,593.95,586.35,589.2,588,588.5,591.21,629.55,430.7,"1,59,71,917","9,44,27,24,430.85","1,40,988",SBIN
7-Jun-23,EQ,588,590.6,586,585.35,588.8,589.2,588.49,629.55,430.7,"1,11,13,781","6,54,03,71,617.50","1,70,307",SBIN
6-Jun-23,EQ,588,588.9,583,587.2,586,585.35,585.23,629.55,430.7,"1,11,99,940","6,55,45,43,425.95","1,40,444",SBIN
5-Jun-23,EQ,588.5,589.8,586,587.2,587,587.2,587.86,629.55,430.7,"1,29,20,507","7,59,54,73,740.25","1,43,514",SBIN
2-Jun-23,EQ,584.7,588.9,583,582.75,586.6,587.2,586.45,629.55,430.7,"1,13,23,908","6,64,09,01,519.45","1,57,397",SBIN
1-Jun-23,EQ,581.8,586.4,581,579.85,583.05,582.75,584.03,629.55,430.7,"1,78,20,226","10,40,75,10,474.15","1,70,662",SBIN
31-May-23,EQ,583.8,584.8,577.5,592.8,581,579.85,581.09,629.55,430.7,"2,87,97,643","16,73,39,58,686.45","2,09,733",SBIN
30-May-23,EQ,595,595.5,591.5,595,592.95,592.8,593.57,629.55,430.7,"1,50,31,640","8,92,22,77,742.60","1,56,739",SBIN
29-May-23,EQ,590,596.4,588.05,586,594.6,595,593.5,629.55,430.7,"1,84,32,231","10,93,96,16,927.30","3,23,484",SBIN
26-May-23,EQ,581.25,587.75,580.55,581.25,585.75,586,585.13,629.55,430.7,"97,88,076","5,72,73,06,518.30","1,17,540",SBIN
25-May-23,EQ,582,582.9,577,582.7,580.7,581.25,580.06,629.55,430.7,"1,64,79,436","9,55,91,18,791.75","1,51,117",SBIN
24-May-23,EQ,579.8,585.25,578.25,581.6,582,582.7,583.06,629.55,430.7,"1,76,16,658","10,27,16,55,251.50","1,58,808",SBIN
23-May-23,EQ,578.9,583.7,576.8,577.15,580.3,581.6,580.66,629.55,430.7,"1,61,20,548","9,36,05,57,915.40","1,54,666",SBIN
22-May-23,EQ,577.5,580.3,573.45,575.15,576.55,577.15,577.12,629.55,430.7,"2,14,84,049","12,39,88,69,154.95","2,05,172",SBIN
19-May-23,EQ,579,586.25,569.9,574.2,575.65,575.15,576.07,629.55,430.7,"4,22,93,962","24,36,42,73,546.75","3,51,340",SBIN
18-May-23,EQ,590.3,593.9,571.4,586.3,576.35,574.2,583,629.55,430.7,"4,56,56,620","26,61,76,35,078.25","4,03,645",SBIN
17-May-23,EQ,586,590.5,579.5,586.3,587.2,586.3,584.82,629.55,430.7,"2,37,39,774","13,88,33,95,488.50","2,51,054",SBIN
16-May-23,EQ,584,590.4,582,581.9,585.95,586.3,586.03,629.55,430.7,"2,21,78,229","12,99,71,34,028.50","2,33,142",SBIN
15-May-23,EQ,578.75,584,574.65,578.15,582.05,581.9,581.35,629.55,430.7,"1,14,10,243","6,63,33,67,008.50","1,76,477",SBIN
12-May-23,EQ,574.7,580.75,571.55,573.45,578.1,578.15,576.81,629.55,430.7,"1,13,19,335","6,52,91,01,795.50","1,48,890",SBIN
11-May-23,EQ,572.2,580,572,572.2,573.7,573.45,574.59,629.55,430.7,"1,60,16,715","9,20,31,23,584.55","1,83,896",SBIN
10-May-23,EQ,575,575,563.25,573.5,572.15,572.2,568.87,629.55,430.7,"1,85,61,315","10,55,90,52,709.10","2,23,302",SBIN
9-May-23,EQ,585,586.45,572.1,583.6,573.7,573.5,576.83,629.55,430.7,"1,89,59,065","10,93,61,67,606.40","2,47,801",SBIN
8-May-23,EQ,577.65,587.6,577.35,576.5,584.6,583.6,582.04,629.55,430.7,"1,29,90,869","7,56,11,57,898.55","1,59,186",SBIN
5-May-23,EQ,580.2,588.25,575.05,580,576.45,576.5,582.81,629.55,430.7,"1,81,63,461","10,58,59,37,155.00","1,82,941",SBIN
4-May-23,EQ,570.2,580.8,568.5,570.5,579.45,580,576.93,629.55,430.7,"1,25,33,761","7,23,11,05,959.65","1,55,082",SBIN
3-May-23,EQ,570.65,575,569,575.3,569.9,570.5,572.27,629.55,430.7,"96,99,527","5,55,07,86,227.05","1,51,234",SBIN
2-May-23,EQ,580,580.85,573.15,578.3,574.4,575.3,577.47,629.55,430.7,"1,36,67,511","7,89,25,86,303.30","2,72,846",SBIN
28-Apr-23,EQ,567.8,580.45,565.5,564.75,576.1,578.3,572.14,629.55,430.7,"1,61,83,423","9,25,91,24,491.90","1,72,070",SBIN
27-Apr-23,EQ,565,567.4,561.1,566.35,564.45,564.75,564.04,629.55,430.7,"1,78,45,169","10,06,53,43,831.20","2,13,129",SBIN
26-Apr-23,EQ,562,567,556.45,561.8,567,566.35,562.67,629.55,430.7,"2,31,43,882","13,02,24,69,078.50","1,95,651",SBIN
25-Apr-23,EQ,555,567.9,555,554.6,561.35,561.8,562.34,629.55,430.7,"3,81,42,390","21,44,89,99,021.65","2,50,488",SBIN
24-Apr-23,EQ,543.8,555.55,543.5,543.15,553.8,554.6,550.47,629.55,430.7,"2,33,35,611","12,84,55,92,513.85","2,10,456",SBIN
21-Apr-23,EQ,545,546.4,539.7,544.8,542.3,543.15,542.35,629.55,430.7,"2,25,99,418","12,25,67,95,887.05","1,88,920",SBIN
20-Apr-23,EQ,541.2,545.45,536.65,540.3,544.35,544.8,541.56,629.55,430.7,"2,55,88,577","13,85,76,34,831.90","1,46,793",SBIN
19-Apr-23,EQ,544,547.5,538.25,545.85,539.4,540.3,543.32,629.55,430.7,"2,11,56,372","11,49,47,63,710.95","1,42,208",SBIN
18-Apr-23,EQ,545.35,548.5,540.5,544,545.25,545.85,545.32,629.55,430.7,"2,22,83,456","12,15,16,54,395.50","2,18,269",SBIN
17-Apr-23,EQ,528,545,528,532.95,544.4,544,539.11,629.55,430.7,"3,24,76,990","17,50,87,92,556.85","2,29,953",SBIN
13-Apr-23,EQ,529.3,534.25,527.15,528.2,533.4,532.95,530.4,629.55,430.7,"2,85,97,560","15,16,82,46,670.05","1,68,188",SBIN
12-Apr-23,EQ,533.2,534,526,532.1,529.15,528.2,529.65,629.55,430.7,"2,12,92,441","11,27,75,64,811.00","1,70,950",SBIN
11-Apr-23,EQ,530.85,535.7,527.15,526.3,532.5,532.1,533.07,629.55,430.7,"2,64,14,406","14,08,08,36,565.45","1,76,416",SBIN
10-Apr-23,EQ,529.25,530.4,524.4,527.65,525.7,526.3,527.28,629.55,430.7,"1,73,35,453","9,14,06,93,489.70","1,38,261",SBIN
6-Apr-23,EQ,524,533.7,521.65,523,527.7,527.65,528.66,629.55,430.7,"2,51,25,879","13,28,29,81,142.75","2,32,693",SBIN
5-Apr-23,EQ,527,527.6,519.05,526.75,523.5,523,522.57,629.55,430.7,"1,35,74,801","7,09,38,06,223.30","1,74,172",SBIN
3-Apr-23,EQ,524.75,528.5,522.1,523.75,525.6,526.75,525.94,629.55,430.7,"1,42,10,949","7,47,41,13,454.40","1,37,769",SBIN
31-Mar-23,EQ,520.65,524.9,519.35,516.5,523,523.75,522.06,629.55,430.7,"1,73,56,345","9,06,11,33,003.00","2,10,617",SBIN
29-Mar-23,EQ,509,518,506.3,508.1,517,516.5,512.21,629.55,430.7,"2,42,03,789","12,39,74,77,065.00","2,16,794",SBIN
28-Mar-23,EQ,511.45,511.75,503.85,510.15,509,508.1,507.96,629.55,430.7,"1,58,33,599","8,04,28,52,927.30","1,99,721",SBIN
27-Mar-23,EQ,507,514.15,501.55,505.35,509,510.15,509.28,629.55,430.7,"1,56,74,218","7,98,26,18,562.65","2,24,703",SBIN
24-Mar-23,EQ,514.5,514.95,503.45,512.75,505.5,505.35,510.24,629.55,430.7,"1,44,16,984","7,35,61,53,435.65","1,94,898",SBIN
23-Mar-23,EQ,519.4,521,511.5,521.55,512,512.75,517.21,629.55,430.7,"2,20,97,792","11,42,91,12,837.45","2,61,069",SBIN
22-Mar-23,EQ,522.2,527,520.1,521.85,521.55,521.55,523.63,629.55,430.7,"1,16,19,538","6,08,42,88,023.15","1,55,900",SBIN
21-Mar-23,EQ,522,523.45,516.45,519.2,521.75,521.85,520.33,629.55,430.7,"2,94,85,180","15,34,19,48,084.50","2,95,453",SBIN
20-Mar-23,EQ,526.6,526.6,515,529.8,520,519.2,518.98,629.55,430.7,"1,42,75,315","7,40,85,42,782.55","2,51,690",SBIN
17-Mar-23,EQ,528.65,531.6,520.1,524.5,531,529.8,526.55,629.55,430.7,"1,87,87,379","9,89,25,76,528.70","1,85,372",SBIN
16-Mar-23,EQ,518.4,529.35,514.3,517.55,525.65,524.5,521.02,629.55,430.7,"2,00,40,008","10,44,13,35,063.95","2,90,873",SBIN
15-Mar-23,EQ,529.8,532,515.55,525.4,517.8,517.55,524.47,629.55,430.7,"1,12,82,329","5,91,72,58,639.80","2,52,252",SBIN
14-Mar-23,EQ,527.65,532.8,520,530,526,525.4,524.87,629.55,430.7,"1,47,50,800","7,74,22,94,996.90","2,62,481",SBIN
13-Mar-23,EQ,547,553.15,528.45,547.35,529.95,530,537.53,629.55,430.7,"1,43,73,729","7,72,63,10,525.70","2,11,599",SBIN
10-Mar-23,EQ,553.1,554.95,545,558.9,547.65,547.35,548.4,629.55,425,"1,15,22,371","6,31,89,23,508.05","2,23,557",SBIN
9-Mar-23,EQ,564.75,565.75,558,564.8,558.7,558.9,561.63,629.55,425,"89,93,423","5,05,09,51,266.70","1,29,019",SBIN
8-Mar-23,EQ,560,565.5,556.45,561.7,564,564.8,561.23,629.55,425,"1,26,37,578","7,09,26,00,028.60","1,63,357",SBIN
6-Mar-23,EQ,564.9,567.9,559,561.2,561.8,561.7,563.48,629.55,425,"1,61,62,268","9,10,70,45,455.25","1,99,841",SBIN
3-Mar-23,EQ,542,564.3,541.75,533.75,561,561.2,557.8,629.55,425,"2,76,56,538","15,42,68,80,804.45","3,01,105",SBIN
2-Mar-23,EQ,535.95,539.9,532.5,536.7,534.5,533.75,535.45,629.55,425,"1,03,76,913","5,55,62,84,341.95","1,50,813",SBIN
1-Mar-23,EQ,523.25,537.4,523.1,522.8,536.25,536.7,532.39,629.55,425,"1,35,10,198","7,19,27,17,063.95","2,47,974",SBIN
28-Feb-23,EQ,527.25,528.45,521.05,527.7,522.45,522.8,523.97,629.55,425,"1,57,68,010","8,26,20,22,278.80","1,38,340",SBIN
27-Feb-23,EQ,521.1,529.8,519,521.05,527.5,527.7,525.49,629.55,425,"1,10,48,799","5,80,59,88,068.60","1,75,532",SBIN
24-Feb-23,EQ,524.2,527.5,517.6,521,521.5,521.05,522.25,629.55,425,"1,22,53,035","6,39,91,75,579.85","1,74,036",SBIN
23-Feb-23,EQ,516.95,524,511.35,516.35,522.85,521,518.82,629.55,425,"1,55,35,085","8,05,98,38,424.75","2,09,593",SBIN
22-Feb-23,EQ,520.75,521.9,512.5,523.45,516.75,516.35,516.6,629.55,425,"1,47,63,050","7,62,65,22,439.50","2,79,932",SBIN
21-Feb-23,EQ,527.1,528.95,522.4,525.15,523.8,523.45,525.46,629.55,425,"1,02,23,218","5,37,18,49,834.55","2,01,064",SBIN
20-Feb-23,EQ,532,533.95,522.15,531,525.45,525.15,526.99,629.55,425,"1,25,70,032","6,62,42,34,423.90","2,07,013",SBIN
17-Feb-23,EQ,538.5,539.65,527.75,540.1,530.65,531,532.32,629.55,425,"1,41,92,008","7,55,46,22,361.75","2,20,159",SBIN
16-Feb-23,EQ,546.85,546.85,538.5,542.25,539.3,540.1,542.25,629.55,425,"1,27,67,016","6,92,28,54,433.10","2,19,926",SBIN
15-Feb-23,EQ,540,544.65,536.8,540.85,542.8,542.25,541.31,629.55,425,"1,27,96,579","6,92,69,57,648.50","2,07,687",SBIN
14-Feb-23,EQ,539.95,544.6,530.75,537.5,541,540.85,536.92,629.55,425,"1,85,59,909","9,96,51,43,466.40","2,21,342",SBIN
13-Feb-23,EQ,554,556.9,533.3,553.05,537.1,537.5,539.69,629.55,425,"1,84,88,732","9,97,81,35,518.80","2,48,043",SBIN
10-Feb-23,EQ,546.5,557.25,546.5,550.8,552.9,553.05,553.81,629.55,425,"1,38,24,475","7,65,61,54,646.75","1,79,516",SBIN
9-Feb-23,EQ,552,552,542.8,549.75,551,550.8,548.33,629.55,425,"1,50,61,047","8,25,83,88,340.35","1,47,809",SBIN
8-Feb-23,EQ,550,554.5,545.5,547.1,550.75,549.75,549.76,629.55,425,"1,55,02,847","8,52,29,03,102.05","2,44,248",SBIN
7-Feb-23,EQ,548,551.4,541.05,545.4,546.2,547.1,546.83,629.55,425,"1,61,95,947","8,85,63,78,573.70","3,43,935",SBIN
6-Feb-23,EQ,558.8,558.8,536.55,544.2,543.9,545.4,545.24,629.55,425,"2,53,38,586","13,81,56,25,569.50","2,66,976",SBIN
3-Feb-23,EQ,536,545.95,519.15,528.1,545.7,544.2,535.23,629.55,425,"3,23,17,232","17,29,70,09,476.05","4,44,091",SBIN
2-Feb-23,EQ,520.2,532.65,502.5,527.35,532.1,528.1,521.91,629.55,425,"3,92,87,056","20,50,42,07,140.65","4,71,242",SBIN
1-Feb-23,EQ,561.4,565,499.35,553.5,527,527.35,541.41,629.55,425,"3,82,18,810","20,69,21,38,679.10","4,98,247",SBIN
31-Jan-23,EQ,545,557,537.85,538.2,556.95,553.5,550.83,629.55,425,"2,19,11,943","12,06,97,23,500.85","2,84,762",SBIN
30-Jan-23,EQ,536,554.35,525.2,539.95,541.25,538.2,536.97,629.55,425,"4,07,97,825","21,90,71,60,847.25","5,90,951",SBIN
27-Jan-23,EQ,568,568.55,532.25,568.7,542,539.95,548.08,629.55,425,"4,01,63,464","22,01,29,48,569.60","5,01,251",SBIN
25-Jan-23,EQ,595.85,595.85,567.4,594.35,568.5,568.7,574.28,629.55,425,"2,56,86,294","14,75,10,42,028.80","4,41,882",SBIN
24-Jan-23,EQ,603.5,604.6,593.05,600.45,593.95,594.35,597.94,629.55,425,"76,09,623","4,55,01,01,925.85","1,43,693",SBIN
23-Jan-23,EQ,598.5,601.75,592.95,592.2,601,600.45,599.43,629.55,425,"66,04,469","3,95,89,19,244.80","1,22,483",SBIN
20-Jan-23,EQ,593.8,596.6,590.8,589.85,592.95,592.2,593.93,629.55,425,"67,50,607","4,00,93,74,692.95","1,14,106",SBIN
19-Jan-23,EQ,591,591.75,587.55,591.45,589.7,589.85,589.57,629.55,425,"74,75,688","4,40,74,07,361.60","1,59,313",SBIN
18-Jan-23,EQ,595.9,597.15,587.6,592.95,591,591.45,591.61,629.55,425,"1,15,38,075","6,82,60,73,685.45","1,87,691",SBIN
17-Jan-23,EQ,603,606,586.05,603,593.4,592.95,593.93,629.55,425,"1,34,61,999","7,99,55,08,779.40","1,79,000",SBIN
16-Jan-23,EQ,603,606.1,600.6,600.1,603.2,603,603.22,629.55,425,"54,83,191","3,30,75,58,082.15","1,14,056",SBIN
13-Jan-23,EQ,597.9,602.9,593.65,594.9,600.7,600.1,598.73,629.55,425,"78,77,610","4,71,65,67,188.30","1,22,377",SBIN
12-Jan-23,EQ,597.9,597.9,590.1,596.7,594.95,594.9,593.57,629.55,425,"81,83,715","4,85,76,01,333.75","1,95,861",SBIN
11-Jan-23,EQ,596.45,599.5,592.25,595.15,597,596.7,596.73,629.55,425,"74,19,630","4,42,75,02,701.85","1,20,446",SBIN
10-Jan-23,EQ,608.45,609,590.6,607.7,595.5,595.15,596.1,629.55,425,"1,06,22,660","6,33,22,08,142.65","1,87,602",SBIN
9-Jan-23,EQ,605,609,600.1,600.65,608.45,607.7,606.07,629.55,425,"88,78,905","5,38,12,51,510.20","1,60,223",SBIN
6-Jan-23,EQ,607.4,607.45,597,605.1,601,600.65,601.57,629.55,425,"79,72,036","4,79,57,47,048.60","1,54,179",SBIN
5-Jan-23,EQ,607,611.6,601.95,605.2,605.75,605.1,605.84,629.55,425,"82,41,475","4,99,29,82,082.00","1,46,571",SBIN
4-Jan-23,EQ,611.85,614.95,604,612.4,605.6,605.2,607.74,629.55,425,"70,11,191","4,26,09,69,479.35","1,13,548",SBIN
